784	476	713	96000	3264000
980	768	674	58000	1972000
176	60	634	20100	683400
536	115	873	61200	3304800
732	407	834	23300	1234900
451	515	310	6400	601600
647	807	270	67500	6277500
484	45	993	87500	6387500
203	154	470	70600	1623800
399	446	430	32700	752100
759	500	668	73800	3173400
955	792	629	35900	1543700
151	84	589	96900	4069800
347	376	550	59000	2478000
707	431	789	1100	68200
903	723	749	62100	3850200
99	15	710	24200	1476200
459	70	949	65300	5289300
655	362	909	27300	2211300
374	470	385	10500	325500
570	762	346	71600	2219600
408	1	69	91500	915000
126	109	545	74700	3809700
322	401	506	36800	1840000
519	694	467	97800	4890000
878	747	704	39900	2793000
75	40	666	2000	140000
271	332	626	63000	4347000
989	440	102	46200	924000
827	679	826	66200	5891800
23	971	786	28200	2509800
742	79	262	11400	444600
579	318	986	31400	596600
297	425	461	14600	861400
494	718	422	75600	4460400
690	10	383	37700	2186600
50	65	622	78800	6146400
246	357	582	40800	3182400
442	649	543	2900	226200
638	941	503	64000	4928000
998	995	741	6000	582000
194	287	702	67100	6508700
913	396	179	50300	2364100
109	688	139	12300	578100
946	926	862	32300	872100
665	34	338	15500	1038500
861	326	298	76600	5055600
221	381	537	18600	1618200
417	673	498	79700	6854200
613	965	458	41800	3594800
810	258	420	3800	326800
169	312	658	44900	718400
366	605	619	7000	105000
562	897	580	68000	1020000
922	951	818	10100	353500
118	243	778	71200	2492000
836	351	254	54400	4080000
33	644	216	16400	1230000
870	882	938	36400	1965600
588	989	413	19600	1842400
785	282	375	80600	7576400
981	574	335	42700	4013800
341	629	574	83800	2011200
537	921	535	45800	1099200
733	213	495	7900	181700
93	268	734	49000	2107000
289	560	695	11000	473000
485	852	655	72100	3100300
204	960	131	55300	4589900
41	198	854	75200	4662400
760	307	331	58400	759200
956	599	291	20500	246000
793	837	14	40400	3312800
512	945	490	23600	755200
708	237	450	84700	2710400
68	292	689	26800	1393600
264	584	650	87800	4565600
460	876	610	49900	2544900
657	169	572	12000	612000
16	223	810	53000	3763000
213	516	771	15100	1072100
409	808	732	76200	5334000
769	862	970	18300	1647000
965	154	930	79300	7137000
683	262	406	62500	2500000
879	554	367	24600	984000
717	793	90	44500	845500
435	900	565	27700	1662000
632	193	527	88800	5239200
828	485	487	50800	2997200
188	540	726	91900	7260100
384	832	687	54000	4266000
580	124	647	16000	1248000
299	232	123	98200	2847800
136	471	847	19200	1881600
332	763	807	80200	7859600
51	871	283	63400	3043200
247	163	244	25500	1224000
607	218	483	66600	4528800
803	510	443	28600	1944800
999	802	404	89700	6009900
195	94	364	51700	3463900
555	148	602	92800	8073600
751	440	563	54900	4776300
948	733	524	16900	1453400
666	841	106	99100	3666700
504	80	724	20100	321600
222	187	199	3300	184800
418	479	159	64300	3600800
256	719	884	84300	3034800
974	826	359	67500	5130000
170	118	319	29500	2212500
367	411	281	90600	6795000
726	465	519	32700	3106500
923	758	480	93700	8901500
119	50	441	55800	5301000
837	157	915	39000	1755000
675	396	639	59000	1416000
871	688	600	21000	504000
590	797	77	4200	268800
427	35	799	24200	1064800
146	143	275	7300	613200
342	435	236	68400	5745600
538	727	196	30500	2531500
898	782	435	71600	930800
94	74	396	33600	436800
290	366	356	94700	1231100
486	658	317	56700	680400
846	713	556	97800	3227400
42	5	516	59900	1916800
761	113	992	43100	3103200
957	405	953	5100	367200
795	644	676	25100	1305200
513	752	152	8300	763600
68	97	349	11400	250800
905	336	73	31400	2857400
102	629	35	92400	8408400
820	736	510	75600	3099600
16	28	470	37700	1545700
376	83	709	78800	4806800
572	375	670	40800	2488800
769	668	631	2900	174000
965	960	592	63900	3834000
325	14	830	6000	480000
521	306	790	67100	5368000
717	598	751	29100	2298900
436	707	228	12300	369000
273	945	950	32300	3197700
992	53	426	15500	759500
188	345	387	76500	3748500
25	583	109	96500	2702000
744	692	586	79700	5499300
940	984	547	41700	2835600
136	276	507	3800	258400
496	331	746	44900	3951200
692	623	707	7000	616000
888	914	666	68000	5916000
607	23	143	51200	1945600
444	261	866	71200	1210400
640	553	826	33200	564400
359	662	303	16400	934800
555	954	264	77500	4417500
915	8	501	19600	1509200
111	300	462	80600	6206200
307	592	423	42700	3245200
667	647	662	83800	8044800
863	939	622	45800	4396800
60	232	584	7900	758400
256	524	544	68900	6545500
974	631	19	52100	2396600
171	924	981	14200	639000
530	978	218	55300	3594500
727	271	180	17300	1124500
923	563	141	78400	5096000
119	855	101	40400	2585600
479	910	340	81500	6846000
675	201	300	43600	3662400
871	493	260	5600	470400
231	548	499	46700	653800
427	840	460	8800	123200
146	949	936	91000	4914000
342	241	897	53000	2809000
538	532	857	15100	800300
898	587	96	56200	4102600
94	879	56	18200	1328600
290	171	17	79300	5788900
486	463	977	41400	2980800
205	572	454	24500	539000
401	863	414	85600	1883200
761	918	652	27700	1163400
957	210	613	88700	3725400
153	502	574	50800	2133600
350	795	535	12900	528900
68	903	11	95000	7695000
906	142	735	16000	976000
102	434	695	77100	4703100
820	541	170	60300	663300
17	834	132	22300	245300
213	126	92	83400	834000
573	181	331	25500	765000
769	473	292	86500	2595000
965	765	252	48600	1458000
325	819	490	89700	4485000
521	111	451	51700	2533300
717	403	411	13800	676200
436	512	888	96000	8544000
273	750	611	16900	1166100
992	858	86	99100	1882900
188	150	47	61200	1162800
384	442	8	23200	417600
580	734	968	84300	1517400
940	789	207	26400	1003200
136	81	168	87400	3321200
332	373	128	49500	1831500
51	481	604	32700	2550600
888	720	328	52600	2998200
607	828	803	35800	3508400
803	120	764	96900	9399300
999	412	725	58900	5713300
359	467	964	1000	27000
555	759	924	62100	1676700
752	52	886	24100	626600
948	344	846	85200	2215200
308	398	84	27300	1255800
504	690	45	88400	4066400
222	798	520	71500	6149000
60	37	244	91500	5947500
256	329	205	53600	3484000
975	437	681	36700	550500
171	729	641	97800	1467000
531	784	880	39900	1396500
727	76	841	2000	70000
923	368	801	63000	2142000
119	660	762	25100	853400
479	715	1	66200	3574800
675	7	961	28200	1522800
871	299	922	89300	4822200
231	353	160	31400	2323600
427	645	120	92400	6745200
146	754	597	75600	1814400
342	46	558	37700	867100
179	284	280	57600	5356800
898	392	756	40800	1754400
94	684	717	2900	124700
290	976	677	63900	2683800
650	31	916	6000	372000
846	323	877	67100	4160200
43	616	838	29100	1804200
402	670	76	70200	5756400
599	963	38	32300	2648600
795	255	998	93300	7557300
155	309	236	35400	389400
351	601	197	96500	1061500
69	709	672	79700	4064700
266	2	634	41700	2126700
103	240	357	61700	1851000
822	348	833	44900	3187900
18	640	793	6900	483000
